timestamp,open,high,low,close,volume,ma_short,ma_long,signal,position
2026-01-13 16:30:00,13011992177.0,13011992177.0,13000000000.0,13000001000.0,0.2437071449,,,0,
2026-01-13 17:30:00,13000001000.0,13011992177.0,13000000000.0,13000001000.0,0.1668892411,,,0,0.0
2026-01-13 18:30:00,13000000000.0,13064442439.0,12999100001.0,13020001001.0,0.2604695978,,,0,0.0
2026-01-13 19:30:00,13000769666.0,13069000000.0,12998000001.0,13069000000.0,0.3367795817,,,0,0.0
2026-01-13 20:30:00,13000673538.0,13071000000.0,13000673538.0,13060300000.0,0.0872633494,,,0,0.0
2026-01-13 21:30:00,13060300000.0,13060300000.0,13010087061.0,13010089061.0,0.0585859277,,,0,0.0
2026-01-13 22:30:00,13010089061.0,13058450000.0,12999998000.0,13057959000.0,0.0887881922,,,0,0.0
2026-01-13 23:30:00,13057959000.0,13080000000.0,13011000000.0,13017003000.0,0.0813036585,,,0,0.0
2026-01-14 00:30:00,13017506000.0,13080000000.0,13017506000.0,13030001000.0,0.0008491796,,,0,0.0
2026-01-14 01:30:00,13030001000.0,13080000000.0,13030000000.0,13030000000.0,0.0667089263,13029435506.2,,0,0.0
2026-01-14 02:30:00,13040000000.0,13119999995.0,13040000000.0,13086781131.0,0.0637879412,13038113519.3,,0,0.0
2026-01-14 03:30:00,13086781131.0,13140000000.0,13086781121.0,13121003000.0,0.18300884,13050213719.3,,0,0.0
2026-01-14 04:30:00,13139000000.0,13200000000.0,13120000000.0,13162015001.0,0.2122610129,13064415119.3,,0,0.0
2026-01-14 05:30:00,13162041000.0,13200000000.0,13157999000.0,13158098004.0,0.2074316046,13073324919.7,,0,0.0
2026-01-14 06:30:00,13158098004.0,13189997997.0,13158098004.0,13170000000.0,0.1861550292,13084294919.7,,0,0.0
2026-01-14 07:30:00,13170000000.0,13220000000.0,13158000002.0,13160001000.0,0.2011522695,13099286113.6,,0,0.0
2026-01-14 08:30:00,13160001000.0,13250000000.0,13158000002.0,13222000099.0,0.2647707495,13115690223.5,,0,0.0
2026-01-14 09:30:00,13222000099.0,13250000001.0,13158000002.0,13161035011.0,0.2088238948,13130093424.6,,0,0.0
