timestamp,open,high,low,close,volume,ma_short,ma_long,signal,position
2026-06-20 20:30:00,10149999994.0,10186999760.0,10122100000.0,10124801000.0,0.2849146668,,,0,
2026-06-20 21:30:00,10149999998.0,10187490322.0,10124801000.0,10187490322.0,0.1297212329,,,0,0.0
2026-06-20 22:30:00,10187490322.0,10213424270.0,10159200096.0,10189468502.0,0.0717314466,,,0,0.0
2026-06-20 23:30:00,10190619594.0,10213424269.0,10170903783.0,10188461723.0,0.036985899,,,0,0.0
2026-06-21 00:30:00,10209999999.0,10213424270.0,10180701891.0,10188344621.0,0.0714525563,,,0,0.0
2026-06-21 01:30:00,10188344621.0,10229999983.0,10180226216.0,10229998999.0,0.0795937319,,,0,0.0
2026-06-21 02:30:00,10220000000.0,10244000000.0,10188344621.0,10240000000.0,0.0713494702,,,0,0.0
2026-06-21 03:30:00,10240000000.0,10279338517.0,10188344621.0,10246150570.0,0.2822587352,,,0,0.0
2026-06-21 04:30:00,10279338441.0,10279338520.0,10090000000.0,10250809989.0,0.3991677499,10205058414.0,,0,0.0
2026-06-21 05:30:00,10250809989.0,10278876013.0,10194284600.0,10194284600.0,0.1963596012,10212778814.0,,0,0.0
2026-06-21 06:30:00,10218023265.0,10260479774.0,10092000000.0,10213326037.0,0.2357874729,10215649449.0,,0,0.0
2026-06-21 07:30:00,10192092647.0,10213326045.0,10100014114.0,10146084949.0,0.2256863914,10210829054.222221,,0,0.0
2026-06-21 08:30:00,10160538248.0,10192144853.0,10090999999.0,10150000000.0,0.2881655724,10206555529.444445,,0,0.0
2026-06-21 09:30:00,10164480038.0,10200000000.0,10090999999.0,10198850977.0,0.2770512107,10207722902.333334,,0,0.0
2026-06-21 10:30:00,10178745032.0,10202555555.0,10148239852.0,10202555555.0,0.2560116037,10204673630.777779,,0,0.0
2026-06-21 11:30:00,10167190738.0,10202555554.0,10143212747.0,10180964719.0,0.2286412134,10198114155.11111,,0,0.0
2026-06-21 12:30:00,10143311144.0,10181000000.0,10130000012.0,10130000015.0,0.1313677936,10185208537.88889,,0,0.0
2026-06-21 13:30:00,10130000032.0,10201990992.0,10130000032.0,10201326798.0,0.099638723,10179710405.555555,,0,0.0
2026-06-21 14:30:00,10201990992.0,10220000000.0,10163725572.0,10220000000.0,0.2059262306,10182567672.222221,,0,0.0
2026-06-21 15:30:00,10218888888.0,10249999900.0,10191555955.0,10249999900.0,0.2408336021,10186642545.88889,,0,0.0
2026-06-21 16:30:00,10249999900.0,10325700000.0,10249251121.0,10289000000.0,0.4568839562,10202521996.0,10201043775.047619,1,1.0
2026-06-21 17:30:00,10299999999.0,10301143050.0,10250000002.0,10254691247.0,0.1370050464,10214154356.777779,10207229024.904762,1,0.0
2026-06-21 18:30:00,10254691267.0,10310000000.0,10254691266.0,10299999998.0,0.179984855,10225393136.88889,10212586628.52381,1,0.0
2026-06-21 19:30:00,10275000000.0,10299999996.0,10251000001.0,10251000002.0,0.1887130888,10230775853.222221,10215516699.952381,1,0.0
2026-06-21 20:30:00,10251000002.0,10269000000.0,10150002001.0,10182262161.0,0.4358460408,10230920013.444445,10215221482.714285,1,0.0
2026-06-21 21:30:00,10182262161.0,10230000000.0,10182262158.0,10183280762.0,0.2437186838,10236840096.444445,10214980346.571428,1,0.0
2026-06-21 22:30:00,10183280762.0,10225260399.0,10181249788.0,10181249788.0,0.1404447064,10234609317.555555,10212658955.571428,1,0.0
2026-06-21 23:30:00,10181222223.0,10215250459.0,10141000002.0,10212533297.0,0.1428326962,10233779683.88889,10211351017.333334,1,0.0
2026-06-22 00:30:00,10212000000.0,10333059247.0,10170000777.0,10333059247.0,0.3357509623,10243008500.222221,10215489525.761906,1,0.0
2026-06-22 01:30:00,10318936469.0,10345000000.0,10286302778.0,10315746441.0,0.0799316173,10245980327.0,10218581737.761906,1,0.0
2026-06-22 02:30:00,10280612588.0,10330277933.0,10203950265.0,10240581551.0,0.0886707698,10244412583.0,10220786354.47619,1,0.0
2026-06-22 03:30:00,10264618204.0,10283251802.0,10185491077.0,10224999697.0,0.1276572097,10236079216.222221,10221342243.047619,1,0.0
2026-06-22 04:30:00,10191014948.0,10297613226.0,10185491078.0,10240316789.0,0.2045749025,10234892192.555555,10225829473.52381,1,0.0
2026-06-22 05:30:00,10240316787.0,10264999996.0,10199999999.0,10199999999.0,0.1910932788,10236863063.444445,10228210425.857143,1,0.0
2026-06-22 06:30:00,10187111112.0,10246999776.0,10170000000.0,10232874953.0,0.2271132302,10242373529.11111,10229830615.190475,1,0.0
2026-06-22 07:30:00,10232874953.0,10277444869.0,10197644423.0,10223943804.0,0.2029015045,10247117308.666666,10230849103.238094,1,0.0
2026-06-22 08:30:00,10223943804.0,10224000000.0,10197644423.0,10223943803.0,0.3182998428,10248385142.666666,10232895726.285715,1,0.0
2026-06-22 09:30:00,10204007018.0,10277444323.0,10197664493.0,10218000013.0,0.1738976077,10235600783.333334,10237086202.380953,0,-1.0
2026-06-22 10:30:00,10219021823.0,10270227574.0,10215000000.0,10265282227.0,0.1573765464,10229993648.444445,10240131699.0,0,0.0
2026-06-22 11:30:00,10265283227.0,10345000000.0,10265283227.0,10345000000.0,0.6792944367,10241595698.333334,10246084079.952381,0,0.0
2026-06-22 12:30:00,10345000000.0,10399000000.0,10328480200.0,10375002000.0,0.498308671,10258262620.88889,10252036560.904762,1,1.0
2026-06-22 13:30:00,10375000000.0,10440413028.0,10353103655.0,10353103655.0,0.5240435978,10270794494.88889,10255089115.904762,1,0.0
2026-06-22 14:30:00,10353103655.0,10381333935.0,10283132239.0,10355542274.0,0.4179528115,10288076969.88889,10259891545.761906,1,0.0
2026-06-22 15:30:00,10355542275.0,10378801841.0,10294000005.0,10338710167.0,0.2486161215,10299836438.11111,10261734887.142857,1,0.0
