timestamp,Open,High,Low,Close,Volume
2026-06-17 21:00:00,600.86,602.0,599.09,599.45,2215.811
2026-06-17 22:00:00,599.45,601.11,595.11,599.52,4324.503
2026-06-17 23:00:00,599.52,602.29,599.48,601.63,1821.677
2026-06-18 00:00:00,601.63,603.35,601.36,602.32,3485.876
2026-06-18 01:00:00,602.33,604.31,600.66,601.72,2384.519
2026-06-18 02:00:00,601.73,603.47,600.74,601.8,4652.618
2026-06-18 03:00:00,601.81,602.02,596.25,596.6,7121.608
2026-06-18 04:00:00,596.6,597.04,590.75,591.23,10544.339
2026-06-18 05:00:00,591.24,591.35,587.5,589.58,11594.667
2026-06-18 06:00:00,589.58,590.51,587.38,589.37,7059.724
2026-06-18 07:00:00,589.38,590.77,587.97,589.57,7251.356
2026-06-18 08:00:00,589.56,592.8,589.13,591.59,4427.17
2026-06-18 09:00:00,591.58,592.71,590.28,590.66,2307.893
2026-06-18 10:00:00,590.67,591.2,588.84,590.36,3579.292
2026-06-18 11:00:00,590.36,591.12,588.49,589.64,2770.87
2026-06-18 12:00:00,589.64,591.96,589.02,591.51,6095.473
2026-06-18 13:00:00,591.52,592.5,587.67,589.55,5272.913
2026-06-18 14:00:00,589.56,592.4,588.1,589.55,3811.957
2026-06-18 15:00:00,589.54,589.54,573.0,573.74,28972.473
2026-06-18 16:00:00,573.75,579.83,573.48,577.66,12013.715
2026-06-18 17:00:00,577.67,578.29,574.5,576.07,5597.307
2026-06-18 18:00:00,576.08,577.87,575.0,576.19,6065.077
2026-06-18 19:00:00,576.19,579.37,575.62,578.88,3761.011
2026-06-18 20:00:00,578.88,581.12,578.88,579.88,3152.192
2026-06-18 21:00:00,579.89,580.08,578.07,579.57,3137.54
2026-06-18 22:00:00,579.57,580.64,577.45,578.23,4260.999
2026-06-18 23:00:00,578.22,578.89,576.94,578.48,2248.223
2026-06-19 00:00:00,578.48,579.89,577.62,579.38,2661.672
2026-06-19 01:00:00,579.39,582.52,579.39,581.95,2999.775
2026-06-19 02:00:00,581.96,582.84,580.56,582.49,2646.896
2026-06-19 03:00:00,582.5,583.29,575.9,578.19,6380.178
2026-06-19 04:00:00,578.19,578.89,570.82,572.61,8363.381
2026-06-19 05:00:00,572.61,576.11,572.47,575.87,2280.633
2026-06-19 06:00:00,575.87,577.16,573.49,574.5,5113.429
2026-06-19 07:00:00,574.51,575.59,572.82,574.97,5594.452
